Timestamp,hash-rate
2020-04-16 00:00:00,118816054.72042187
2020-04-17 00:00:00,118816054.72042187
2020-04-18 00:00:00,115054068.8189837
2020-04-19 00:00:00,114949569.21061042
2020-04-20 00:00:00,114845069.60223714
2020-04-21 00:00:00,113800073.51850428
2020-04-22 00:00:00,112777076.67665628
2020-04-23 00:00:00,109962852.46635243
2020-04-24 00:00:00,109962750.66907214
2020-04-25 00:00:00,113010797.98649314
2020-04-26 00:00:00,111912718.689852
2020-04-27 00:00:00,111554966.88776185
2020-04-28 00:00:00,110710037.98755728
2020-04-29 00:00:00,111629896.6466347
2020-04-30 00:00:00,113216514.46699297
2020-05-01 00:00:00,112423205.55681384
2020-05-02 00:00:00,112083216.02387984
2020-05-03 00:00:00,113443174.15561542
2020-05-04 00:00:00,116956399.32926585
2020-05-05 00:00:00,118883006.68255801
2020-05-06 00:00:00,119472293.06066516
2020-05-07 00:00:00,120652100.72918232
2020-05-08 00:00:00,122164632.51837374
2020-05-09 00:00:00,121853507.63821319
2020-05-10 00:00:00,120634706.08752504
2020-05-11 00:00:00,121037811.5024569
2020-05-12 00:00:00,121087434.47597246
2020-05-13 00:00:00,119743045.08479346
2020-05-14 00:00:00,115740173.4725989
2020-05-15 00:00:00,111966037.38110109
2020-05-16 00:00:00,110593624.25692008
2020-05-17 00:00:00,109449946.6534358
2020-05-18 00:00:00,101672938.9497434
2020-05-19 00:00:00,98356273.89963926
2020-05-20 00:00:00,94810873.32883832
2020-05-21 00:00:00,93625665.17860007
2020-05-22 00:00:00,94670543.88510205
2020-05-23 00:00:00,92307330.90926425
2020-05-24 00:00:00,90689768.70048103
2020-05-25 00:00:00,91494525.79228365
2020-05-26 00:00:00,90293241.9583557
2020-05-27 00:00:00,90471236.69303177
2020-05-28 00:00:00,92882000.95950745
2020-05-29 00:00:00,92882000.95950745
2020-05-30 00:00:00,94602038.01431313
2020-05-31 00:00:00,98579623.70355122
2020-06-01 00:00:00,102234702.44501325
2020-06-02 00:00:00,103202223.28834149
2020-06-03 00:00:00,103739734.86796825
2020-06-04 00:00:00,103847237.18389353
2020-06-05 00:00:00,105288528.17664051
2020-06-06 00:00:00,109091786.58629334
2020-06-07 00:00:00,111435315.22543465
2020-06-08 00:00:00,110815623.43783537
2020-06-09 00:00:00,112208528.24468695
2020-06-10 00:00:00,113943904.93806848
2020-06-11 00:00:00,114994337.8583902
2020-06-12 00:00:00,117511415.09088533
2020-06-13 00:00:00,115951097.54611005
2020-06-14 00:00:00,112245343.37726876
2020-06-15 00:00:00,113318061.68930161
2020-06-16 00:00:00,110977585.37213877
2020-06-17 00:00:00,110570811.73739891
2020-06-18 00:00:00,110046645.12823606
2020-06-19 00:00:00,105905233.9506356
2020-06-20 00:00:00,105926966.55685547
2020-06-21 00:00:00,105875824.18477476
2020-06-22 00:00:00,105663297.23398975
2020-06-23 00:00:00,108235120.84612945
2020-06-24 00:00:00,110749704.10207175
2020-06-25 00:00:00,110861798.94428031
2020-06-26 00:00:00,112767411.26182605
2020-06-27 00:00:00,115233497.79041477
2020-06-28 00:00:00,115345592.63262333
2020-06-29 00:00:00,115793972.0014576
2020-06-30 00:00:00,116018161.68587473
2020-07-01 00:00:00,114784987.49487373
2020-07-02 00:00:00,117362562.86205772
2020-07-03 00:00:00,119940130.74771558
2020-07-04 00:00:00,119827426.16113058
2020-07-05 00:00:00,121956640.86329544
2020-07-06 00:00:00,123413264.06763057
2020-07-07 00:00:00,124421541.56999886
2020-07-08 00:00:00,125990398.0247753
2020-07-09 00:00:00,124757395.90887444
2020-07-10 00:00:00,124757395.90887444
2020-07-11 00:00:00,124533213.70598343
2020-07-12 00:00:00,124421122.60453786
2020-07-13 00:00:00,123188120.48863713
2020-07-14 00:00:00,123224185.966143
2020-07-15 00:00:00,122915681.28235185
2020-07-16 00:00:00,122988997.50264357
2020-07-17 00:00:00,121358766.03401928
2020-07-18 00:00:00,117847537.53861415
2020-07-19 00:00:00,116374944.77118158
2020-07-20 00:00:00,115473898.09459317
2020-07-21 00:00:00,115544420.5882286
2020-07-22 00:00:00,113203968.57204916
2020-07-23 00:00:00,113943058.6824216
2020-07-24 00:00:00,113943058.6824216
2020-07-25 00:00:00,119239871.14009087
2020-07-26 00:00:00,120718051.36083588
2020-07-27 00:00:00,124043956.85751186
2020-07-28 00:00:00,124990478.24995872
2020-07-29 00:00:00,126940916.24508929
2020-07-30 00:00:00,126909829.43703128
2020-07-31 00:00:00,126308844.85317628
2020-08-01 00:00:00,124781881.42071442
2020-08-02 00:00:00,123681091.53514758
2020-08-03 00:00:00,121087964.30590872
2020-08-04 00:00:00,122154894.82121415
2020-08-05 00:00:00,122154894.82121415
2020-08-06 00:00:00,119881689.13893887
2020-08-07 00:00:00,122394179.62987472
2020-08-08 00:00:00,122274537.22554445
2020-08-09 00:00:00,122872749.24719587
2020-08-10 00:00:00,124667385.31215002
2020-08-11 00:00:00,121699816.45820174
2020-08-12 00:00:00,122886223.95061517
2020-08-13 00:00:00,126347972.69387746
2020-08-14 00:00:00,125375833.9150076
2020-08-15 00:00:00,127289349.96388805
2020-08-16 00:00:00,129075393.19033518
2020-08-17 00:00:00,128705025.71407261
2020-08-18 00:00:00,127334807.63169734
2020-08-19 00:00:00,125649847.98439705
2020-08-20 00:00:00,123363117.03448944
2020-08-21 00:00:00,123242762.77396801
2020-08-22 00:00:00,121798511.64771053
2020-08-23 00:00:00,119391426.43728144
2020-08-24 00:00:00,119993197.73988871
2020-08-25 00:00:00,123297691.91400099
